,item_id,cuisine_tag,item_name,item_price,merchant_id,ingredients
0,1,Side,Fried Spring Rolls,3.5,1d4f2,"[    ""Spring roll wrappers"",    ""Ground pork"",    ""Cabbage"",    ""Carrots"",    ""Bean sprouts"",    ""Shiitake mushrooms"",    ""Onion"",    ""Garlic"",    ""Green onions"",    ""Glass noodles"",    ""Soy sauce"",    ""Sesame oil"",    ""Sugar"",    ""Salt"",    ""Pepper"",    ""Vegetable oil""]"
1,2,American,Lemon Pepper Wings (6 pcs),7.75,8d5f9,"[""Chicken Wings"",""Lemon Pepper Seasoning"",""Cooking Oil"",""Salt"",""Butter"",""Lemon"",""Garlic Powder"",""Onion Powder""]"
2,3,Asian,General Tso’s Chicken,9.5,1a3f7,"[""Chicken"",""Soy Sauce"",""Cornstarch"",""Egg"",""Vinegar"",""Flour"",""Hoisin Sauce"",""Sugar"",""Sesame Oil"",""Chili Peppers"",""Garlic"",""Ginger"",""Chicken Broth"",""Oil"",""Sesame Seeds"",""Green Onion"",""Water""]"
3,4,American,Bacon Wrapped Dog,5.25,d3b6a,"[  ""Hot Dogs"",  ""Bacon"",  ""Hot Dog Buns"",  ""Cheese"",  ""Tomato"",  ""Onion"",  ""Ketchup"",  ""Mustard"",  ""Relish"",  ""Lettuce""]"
4,5,Dessert,Kulfi,3.75,a3e8b,"[  ""Milk"",  ""Sugar"",  ""Cardamom"",  ""Pistachios"",  ""Almonds""]"
5,6,Seafood,Fried Fish Sandwich,8.5,b9e5f,"[    ""Fish fillets"",    ""Flour"",    ""Egg"",    ""Breadcrumbs"",    ""Salt"",    ""Pepper"",    ""Paprika"",    ""Burger buns"",    ""Lettuce"",    ""Tomato"",    ""Onion"",    ""Cheese"",    ""Mayonnaise"",    ""Lemon"",    ""Oil""]"
6,7,Indian,Garlic Naan,2.5,c5e2a,"[    ""Flour"",    ""Yeast"",    ""Sugar"",    ""Salt"",    ""Baking Powder"",    ""Baking Soda"",    ""Yogurt"",    ""Milk"",    ""Oil"",    ""Garlic"",    ""Butter"",    ""Cilantro""]"
7,8,Fried Chicken,Hot Wings (6 pcs),8.0,0e1b3,"[  ""Chicken Wings"",  ""Hot Sauce"",  ""Butter"",  ""Salt"",  ""Pepper"",  ""Garlic Powder"",  ""Onion Powder"",  ""Paprika"",  ""Cooking Oil""]"
8,9,Burgers,Double Patty Burger,9.0,2e8a5,"[    ""Burger buns"",    ""Beef patties"",    ""Cheese"",    ""Lettuce"",    ""Tomato"",    ""Onion"",    ""Pickles"",    ""Ketchup"",    ""Mustard"",    ""Mayonnaise""]"
9,10,French,Mushroom & Herb Crepe,7.5,e7a2f,"[  ""Flour"",  ""Eggs"",  ""Milk"",  ""Butter"",  ""Salt"",  ""Mushrooms"",  ""Onion"",  ""Garlic"",  ""Thyme"",  ""Parsley"",  ""Cream Cheese"",  ""Pepper""]"
10,11,French,Nutella & Banana Crepe,6.75,0e7a4,"[  ""Flour"",  ""Milk"",  ""Eggs"",  ""Butter"",  ""Salt"",  ""Nutella"",  ""Banana"",  ""Oil""]"
11,12,Beverage,Lemonade,2.5,6d0f7,"[  ""Lemons"",  ""Sugar"",  ""Water""]"
12,13,Tex-Mex,Chili Cheese Fries,6.0,6d0f7,"[    ""Potatoes"",    ""Vegetable oil"",    ""Salt"",    ""Ground beef"",    ""Onion"",    ""Tomato"",    ""Kidney beans"",    ""Chili powder"",    ""Cumin"",    ""Garlic"",    ""Water"",    ""Cheese""]"
13,14,Asian,Beef Bulgogi Rice Bowl,9.5,7f4d2,"[    ""Beef"",    ""Soy Sauce"",    ""Sugar"",    ""Sesame Oil"",    ""Garlic"",    ""Ginger"",    ""Onion"",    ""Pear"",    ""Black Pepper"",    ""Rice"",    ""Lettuce"",    ""Carrot"",    ""Spinach"",    ""Cucumber"",    ""Sesame Seeds"",    ""Green Onion"",    ""Gochujang""]"
14,15,Fried Chicken,Bucket of Wings (10 pcs),11.5,7c1a9,"[    ""Chicken Wings"",    ""All-Purpose Flour"",    ""Cornstarch"",    ""Baking Powder"",    ""Salt"",    ""Black Pepper"",    ""Paprika"",    ""Garlic Powder"",    ""Onion Powder"",    ""Cooking Oil""]"
15,16,Mediterranean,Beef Shawarma Plate,9.75,1c2e6,"[    ""Beef"",    ""Pita Bread"",    ""Tomato"",    ""Cucumber"",    ""Red Onion"",    ""Lettuce"",    ""Parsley"",    ""Pickles"",    ""Tahini Sauce"",    ""Garlic Sauce"",    ""Hummus"",    ""Lemon""]"
16,17,Italian,Classic Cheese Pizza,8.0,7c5b9,"[""Flour"",""Water"",""Yeast"",""Salt"",""Olive Oil"",""Tomato Sauce"",""Cheese""]"
17,18,Italian,Spaghetti Bolognese,9.5,d4f0a,"[    ""Spaghetti"",    ""Ground Beef"",    ""Tomato"",    ""Onion"",    ""Carrot"",    ""Celery"",    ""Garlic"",    ""Tomato Paste"",    ""Olive Oil"",    ""Beef Broth"",    ""Red Wine"",    ""Oregano"",    ""Basil"",    ""Salt"",    ""Pepper"",    ""Parmesan Cheese""]"
18,19,Burgers,Classic Cheeseburger,7.5,2e8a5,"[    ""Ground Beef"",    ""Burger Buns"",    ""Cheese"",    ""Lettuce"",    ""Tomato"",    ""Onion"",    ""Pickles""]"
19,20,Filipino,Pancit Palabok,8.5,8f7c2,"[    ""Pancit Bihon Noodles"",    ""Shrimp Broth"",    ""Shrimp"",    ""Pork"",    ""Smoked Fish"",    ""Annatto Powder"",    ""Garlic"",    ""Onion"",    ""Fish Sauce"",    ""Cornstarch"",    ""Eggs"",    ""Pork Cracklings"",    ""Green Onions"",    ""Lemon"",    ""Cooking Oil""]"
20,21,Steak,Beef Striploin Bowl,10.75,4c9a2,"[    ""Beef Striploin"",    ""Rice"",    ""Lettuce"",    ""Tomato"",    ""Onion"",    ""Bell Pepper"",    ""Corn"",    ""Avocado"",    ""Cucumber"",    ""Carrot"",    ""Soy Sauce"",    ""Sesame Oil"",    ""Sesame Seeds""]"
21,22,Side,Celery & Ranch,2.0,8d5f9,"[  ""Celery"",  ""Ranch Dressing""]"
22,23,Healthy,Grilled Chicken Caesar Salad,8.5,4d9f1,"[    ""Chicken Breast"",    ""Olive Oil"",    ""Salt"",    ""Pepper"",    ""Garlic Powder"",    ""Romaine Lettuce"",    ""Caesar Dressing"",    ""Croutons"",    ""Parmesan Cheese"",    ""Tomato"",    ""Lemon""]"
